,Baseline_Accuracy,Optimized_Accuracy,Baseline_F1,Optimized_F1,Accuracy_Improvement,F1_Improvement
Logistic Regression,0.85,0.8666666666666667,0.8301886792452831,0.8518518518518519,0.01666666666666672,0.021663172606568804
Decision Tree,0.7333333333333333,0.8166666666666667,0.7037037037037037,0.8,0.08333333333333337,0.09629629629629632
Random Forest,0.8166666666666667,0.8333333333333334,0.7843137254901961,0.8076923076923077,0.01666666666666672,0.023378582202111642
SVM,0.8333333333333334,0.85,0.8076923076923077,0.8301886792452831,0.016666666666666607,0.022496371552975347
