,CV_F1,Test_Accuracy,Test_F1,Best_Params
Logistic Regression,0.8021818779265587,0.8666666666666667,0.8518518518518519,"{'C': 0.1, 'max_iter': 1000, 'solver': 'liblinear'}"
Decision Tree,0.781425201020752,0.8166666666666667,0.8,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
Random Forest,0.7965590153925255,0.8333333333333334,0.8076923076923077,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}"
SVM,0.7908435708435709,0.85,0.8301886792452831,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}"
